// This dataset is used to predict the quality of red wine based on various physicochemical properties.

// The structure of this dataset is described below.
// (we're using a very restricted design for simplicity).

// You can visit
//    http://archive.ics.uci.edu/ml/datasets/Wine+Quality
// to see more about this dataset.

// NOTE: Your code should handle both Windows-formatted and Linux-formatted files
// (which, unfortunately, differ in how the end of line is represented).

// Your code should HANDLE ANY AMOUNT OF 'white space,' including blank lines, BETWEEN TOKENS.

// Note that you only need to handle '//' comments (ie, there will be no "/* */" comments.
// It is easy in Java to the contents of a string BEFORE any '//' (might get the empty string,
// which should also be ignored).

// For simplicity, this dataset contains 20 boolean-valued features which were derived 
// from the original 11 real-valued features. The boolean-valued features were generated
// by normalizing (range 0-100) and discretizing the real-valued features. The threshold
// values appear in the feature name. For example, fixedAcidityGt47 is T if the fixedAcidity 
// of the example is greater than 47, and F if the fixedAcidity of the example is less than 47.

// The number of features:
20

// Next are the feature names followed by a dash and then the legal values of this feature
// In the CS 540 programming HWs related to decision trees, we will assume that all features have
// two possible values, though they might have names other than the T and F used here (eg,
// might have: "size - small big" in some other testbed used during grading).

fixedAcidityGt47 - T F

volatileAcidityGt17 - T F
volatileAcidityGt29 - T F

citricAcidGt30 - T F

residualSugarGtMean - T F

chloridesGt9 - T F

freeSulfurDioxideGtMean - T F

totalSulfurDioxideGt27 - T F
totalSulfurDioxideGt37 - T F
totalSulfurDioxideGt54 - T F

densityGt18 - T F
densityGt41 - T F

pHGtMean - T F

sulphatesGt12 - T F
sulphatesGt15 - T F
sulphatesGt19 - T F
sulphatesGt44 - T F

alcoholGt22 - T F
alcoholGt33 - T F
alcoholGt47 - T F

// The original class label was a rating of the wine on a scale from 0-10. In this dataset, ratings  
// from 0-5 are combined into "lowToMid" and ratings from 6-10 are combined into "midToHigh".
// Assume that for CS 540 HWs, only two values are possible for the class label.
lowToMid
midToHigh

// The number of examples (will read this many in; ok to have more in the file)
1488

// The examples (as mentioned above, we assume, for simplicity, that all features are BOOLEAN-VALUED, 
// *though the names of the two values might differ across datasets*)

//   First is the example's name, then its category, finally followed
//   by the values of all of its features (listed in the order of the
//   feature names above, will be separated by "whitespace"). 
//   The (boring) names are simply used to concisely identify the examples.
//   Your decision-tree learner should NOT use these names as a feature (what would happen if you did?).

ex1 lowToMid F T F F F T T F F F T T T T T F F T F F
ex2 lowToMid F T F T F F F F F F T F F F F F F T T F
ex3 lowToMid F T F F T T F F F F T T T F F F F T T F
ex4 lowToMid F T F T F T T F F F T T F T T T T F F F
ex5 lowToMid T F F T F T F F F F T T F T T T F T F F
ex6 lowToMid F T T F F T F F F F T T T T F F F F F F
ex7 lowToMid F T T F F T F F F F T T T T F F F F F F
ex8 lowToMid F T T F F T T F F F T T F T T T T F F F
ex9 lowToMid T F F T T T F F F F T T T T T T F F F F
ex10 lowToMid F T F T F T T F F F T T T T T F F F F F
ex11 lowToMid F T F T F T T F F F T T T F F F F F F F
ex12 lowToMid F T T F F T F F F F T T F T T T T T F F
ex13 lowToMid F F F T T F F F F F T F T T T T F T T T
ex14 lowToMid F T T F F T T T T F T T F T F F F F F F
ex15 lowToMid F T T F T T F F F F T T T F F F F T T T
ex16 lowToMid F T T F F T T F F F T F T F F F F T F F
ex17 lowToMid F T T F F T T T T F T T T T T T F T T F
ex18 lowToMid F F F F F T F F F F T F T F F F F T F F
ex19 lowToMid F T T F T F F F F F T T T T F F F T T F
ex20 lowToMid F T T F F T F F F F T T T T T T F T F F
ex21 lowToMid F T T F F T F F F F T T F F F F F F F F
ex22 lowToMid F T F F F T F F F F T T F T T T F F F F
ex23 lowToMid F T T T T T T F F F T T F F F F F F F F
ex24 lowToMid T T T T F F F F F F T T F T F F F T T F
ex25 lowToMid F T T F F T F F F F T T F F F F F F F F
ex26 lowToMid F F F T F F T T T F T T F T T T T F F F
ex27 lowToMid F T F F F T F F F F T F F F F F F F F F
ex28 lowToMid F T F T F T F F F F T T T T T F F T F F
ex29 lowToMid F T T F F F T F F F T T T T T T F T F F
ex30 lowToMid F T T F F T F F F F T F T T F F F T T F
ex31 lowToMid T T F T F T T F F F T T F T T T F T T F
ex32 lowToMid F T T F T T F F F F T T T F F F F T T F
ex33 lowToMid F T F T T T T F F F T T T T T F F F F F
ex34 lowToMid F T T F F F F F F F T F T F F F F T T T
ex35 lowToMid F T T F F F F F F F T F T F F F F T T F
ex36 lowToMid F T T F F T F F F F T F T T T F F F F F
ex37 lowToMid F F F T F T F F F F T T F F F F F F F F
ex38 lowToMid F T T F F T F F F F T T F F F F F F F F
ex39 lowToMid T T T T F F F F F F T T F F F F F T F F
ex40 lowToMid F T T F T T T F F F T T T T T F F T F F
ex41 lowToMid F T T F F T T F F F T T T T T F F F F F
ex42 lowToMid F T T F F T T F F F T T T T T F F F F F
ex43 lowToMid F T T F F T F F F F T T T T F F F F F F
ex44 lowToMid F T F T F T T T F F T T T T T F F F F F
ex45 lowToMid F T T T F T T T T F T T F T T F F F F F
ex46 lowToMid F T F T F T F F F F T T F F F F F F F F
ex47 lowToMid F T T F F T T F F F T F F T F F F F F F
ex48 lowToMid F T T F F T F F F F T T F T F F F F F F
ex49 lowToMid F T T F F T T T F F T T T T F F F T F F
ex50 lowToMid T T T F F T F F F F T T F T F F F F F F
ex51 lowToMid F T T F F T F F F F T T T T T F F T F F
ex52 lowToMid F T T F F T F F F F T T T T F F F T T F
ex53 lowToMid F F F T F F F F F F T T F T T T F T T F
ex54 lowToMid T F F T T T F F F F T T F T T F F F F F
ex55 lowToMid F T T F F T T F F F T T F T T F F F F F
ex56 lowToMid F T F F F T F F F F T F T F F F F F F F
ex57 lowToMid F T T F T T F F F F T T T F F F F F F F
ex58 lowToMid F T T F T T F F F F T T T T F F F T T F
ex59 lowToMid F T T F F T T T F F T T T T F F F F F F
ex60 lowToMid F T F F F T F F F F T T F T T F F F F F
ex61 lowToMid F T T F F T F F F F T T T T T F F F F F
ex62 lowToMid F F F F F T F F F F T T T T F F F F F F
ex63 lowToMid F F F F F T T F F F T T T T F F F T F F
ex64 lowToMid F T T F F T T T F F T F T T F F F T F F
ex65 lowToMid F T F T F T T F F F T T F T T F F F F F
ex66 lowToMid F T F T T T T T F F T T T T T T F T F F
ex67 lowToMid F T T T F T F F F F T T T T T F F T F F
ex68 lowToMid T T F T T T F F F F T T F T T F F T F F
ex69 lowToMid F T T F T T T F F F T T T T T T F F F F
ex70 lowToMid F T T F F T T F F F T F T T F F F T T F
ex71 lowToMid F T T F T T F F F F T T F T T F F F F F
ex72 lowToMid F T T F F T F F F F T T T F F F F F F F
ex73 lowToMid F T T F F T F F F F T F T F F F F T T F
ex74 lowToMid F T T F F T T T T F T T F T F F F F F F
ex75 lowToMid F T T F F F F F F F T F T T F F F T T T
ex76 lowToMid F T T F T T T T T F T T T F F F F F F F
ex77 lowToMid F T T F F T F F F F T F T F F F F T F F
ex78 lowToMid F T T F T T T T F F T T T T T T F F F F
ex79 lowToMid F T T F F T F F F F T T T F F F F F F F
ex80 lowToMid F T T F F T T T T F T F T F F F F T F F
ex81 lowToMid F T T F F T F F F F T F F F F F F T F F
ex82 lowToMid F T T F F T T F F F T T T T T T F F F F
